Year,JF,MAM,JJAS,OND,Annual
1891,0,1,6,2,9
1892,0,0,5,3,8
1893,0,2,5,3,10
1894,0,1,5,2,8
1895,0,1,8,1,10
1896,0,0,8,1,9
1897,0,1,5,3,9
1898,0,1,6,2,9
1899,0,1,5,1,7
1900,0,0,8,2,10
1901,0,0,1,4,5
1902,0,1,6,1,8
1903,0,0,5,5,10
1904,0,1,5,2,8
1905,0,0,6,2,8
1906,1,0,6,2,9
1907,0,2,4,4,10
1908,0,0,5,3,8
1909,0,2,3,3,8
1910,0,1,3,2,6
1911,0,1,4,0,5
1912,0,0,4,2,6
1913,0,0,5,4,9
1914,0,1,4,2,7
1915,0,0,5,4,9
1916,0,1,4,7,12
1917,0,1,4,2,7
1918,1,1,4,4,10
1919,0,0,7,3,10
1920,0,1,5,0,6
1921,0,1,4,4,9
1922,0,1,5,5,11
1923,1,2,6,4,13
1924,0,3,5,5,13
1925,1,3,6,6,16
1926,0,1,4,4,9
1927,0,3,10,3,16
1928,0,1,5,4,10
1929,1,1,8,3,13
1930,0,2,4,5,11
1931,0,1,5,5,11
1932,0,1,6,4,11
1933,0,1,9,3,13
1934,1,1,8,3,13
1935,0,1,6,5,12
1936,0,2,9,4,15
1937,0,2,9,5,16
1938,0,2,2,3,7
1939,1,1,8,3,13
1940,0,1,9,4,14
1941,0,1,10,4,15
1942,0,0,8,3,11
1943,0,2,6,4,12
1944,1,1,8,6,16
1945,0,1,7,5,13
1946,0,0,7,7,14
1947,1,1,8,6,16
1948,1,2,7,3,13
1949,0,3,6,2,11
1950,0,2,8,3,13
1951,0,0,8,3,11
1952,0,2,6,6,14
1953,1,1,4,3,9
1954,0,0,6,4,10
1955,0,2,6,5,13
1956,1,2,7,2,12
1957,0,0,3,1,4
1958,0,2,5,5,12
1959,0,0,7,3,10
1960,0,1,5,5,11
1961,2,2,7,1,12
1962,0,2,4,4,10
1963,1,1,6,5,13
1964,0,1,6,5,12
1965,0,2,5,5,12
1966,0,2,7,7,16
1967,1,1,6,6,14
1968,0,1,7,4,12
1969,0,1,6,5,12
1970,0,2,6,3,11
1971,0,1,6,3,10
1972,0,1,5,6,12
1973,0,0,4,6,10
1974,0,1,4,3,8
1975,1,1,6,5,13
1976,0,1,3,5,9
1977,0,1,7,4,12
1978,0,1,5,4,10
1979,0,1,5,2,8
1980,0,1,2,4,7
1981,0,0,6,4,10
1982,0,2,6,4,12
1983,0,0,1,3,4
1984,0,0,2,3,5
1985,0,1,4,6,11
1986,1,0,3,1,5
1987,1,0,1,4,6
1988,0,0,3,5,8
1989,0,1,4,4,9
1990,0,1,3,4,8
1991,0,2,3,3,8
1992,0,1,2,5,8
1993,0,0,1,3,4
1994,0,2,1,3,6
1995,0,3,2,2,7
1996,0,1,1,4,6
1997,0,1,6,1,8
1998,0,1,1,4,6
1999,1,0,3,3,7
2000,0,1,1,4,6
2001,0,0,1,2,3
2002,0,1,0,4,5
2003,0,1,2,3,6
2004,0,1,1,1,3
2005,1,0,3,5,9
2006,1,1,7,1,10
2007,0,2,5,2,9
2008,0,1,3,3,7
2009,0,2,2,1,5
2010,0,1,0,5,6
2011,1,0,2,2,5
2012,0,0,0,3,3
2013,0,2,1,5,8
2014,1,1,0,2,4
2015,0,0,2,1,3
Total ,24,129,601,435,1189
